Country Name,"Series Name","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
Honduras,"2005 PPP conversion factor, GDP (LCU per international $)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.151283","","","","","","","","","","","","",""
Honduras,"2005 PPP conversion factor, private consumption (LCU per international $)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.662104","","","","","","","","","","","","",""
Honduras,"Access to clean fuels and technologies for cooking (% of population)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.93","31.66","33.44","35.23","36.93","38.43","40.04","41.46","42.9","44.28","45.59","46.89","48.31","49.51","50.68","51.87","53.1","",""
Honduras,"Access to electricity (% of population)","","","","","","","","","","","","","","","","","","","","","","54.7445182800293","54.781937","58.913112","61.100156","64.733947","66.122022","61.68112","64.794754","66.859519","67.394103","67.6167221069336","68.8134307861328","63.141137","65.090464","67.113528","68.903309","71.266448","73.548187","76.396899","78.269685","80.984668","82.195298","83.607727","87.184881","88.653773","89.98171","87.5766296386719","",""
Honduras,"Access to electricity, rural (% of rural population)","","","","","","","","","","","","","","","","","","","","","","30.2542504258264","28.942844","32.042222","36.343699","42.132272","43.254808","34.068518","37.959886","40.508974","41.926879","45.2479469089427","46.7146751555803","34.150908","37.11738","40.095758","42.351097","46.943208","50.448852","55.266458","59.190562","63.869036","65.757091","69.21689","75.782689","76.318906","78.313718","72.1978981788138","",""
Honduras,"Access to electricity, urban (% of urban population)","","","","","","","","","","","","","","","","","","","","","","90.783821105957","88.700619","89.851267","92.082517","92.144467","93.264253","93.877733","95.072358","96.042962","95.3172","94.4555053710937","94.7930679321289","93.140655","94.466186","95.88663","96.042583","96.856154","97.539377","97.960649","97.921085","98.759449","99.174969","98.486672","98.989674","98.762347","98.897656","100","",""
Honduras,"Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.512264251709","","","31.4863586425781","","","45.3429718017578",""
Honduras,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.9203567504883","","","27.0334930419922","","","40.9506874084473",""
Honduras,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.2748184204102","","","36.0899810791016","","","50.2408218383789",""
Honduras,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.1926136016846","","","33.6726455688477","","","50.8420219421387",""
